DATAFLOW,LAST UPDATE,freq,src_crf,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:SDG_13_10(1.0),13/05/25 23:00:00,Annual,Total (excluding memo items),Tonnes per capita,Cyprus,1999,11.4,,
ESTAT:SDG_13_10(1.0),13/05/25 23:00:00,Annual,Total (excluding memo items),Tonnes per capita,Cyprus,2000,11.8,,
ESTAT:SDG_13_10(1.0),13/05/25 23:00:00,Annual,Total (excluding memo items),Tonnes per capita,Cyprus,2001,11.5,,
ESTAT:SDG_13_10(1.0),13/05/25 23:00:00,Annual,Total (excluding memo items),Tonnes per capita,Cyprus,2002,11.7,,
ESTAT:SDG_13_10(1.0),13/05/25 23:00:00,Annual,Total (excluding memo items),Tonnes per capita,Cyprus,2003,12.0,,
ESTAT:SDG_13_10(1.0),13/05/25 23:00:00,Annual,Total (excluding memo items),Tonnes per capita,Cyprus,2004,12.2,,
ESTAT:SDG_13_10(1.0),13/05/25 23:00:00,Annual,Total (excluding memo items),Tonnes per capita,Cyprus,2005,12.2,,
ESTAT:SDG_13_10(1.0),13/05/25 23:00:00,Annual,Total (excluding memo items),Tonnes per capita,Cyprus,2006,12.3,,
ESTAT:SDG_13_10(1.0),13/05/25 23:00:00,Annual,Total (excluding memo items),Tonnes per capita,Cyprus,2007,12.5,,
ESTAT:SDG_13_10(1.0),13/05/25 23:00:00,Annual,Total (excluding memo items),Tonnes per capita,Cyprus,2008,12.4,,
ESTAT:SDG_13_10(1.0),13/05/25 23:00:00,Annual,Total (excluding memo items),Tonnes per capita,Cyprus,2009,11.7,,
ESTAT:SDG_13_10(1.0),13/05/25 23:00:00,Annual,Total (excluding memo items),Tonnes per capita,Cyprus,2010,11.1,,
ESTAT:SDG_13_10(1.0),13/05/25 23:00:00,Annual,Total (excluding memo items),Tonnes per capita,Cyprus,2011,10.4,,
ESTAT:SDG_13_10(1.0),13/05/25 23:00:00,Annual,Total (excluding memo items),Tonnes per capita,Cyprus,2012,9.6,,
ESTAT:SDG_13_10(1.0),13/05/25 23:00:00,Annual,Total (excluding memo items),Tonnes per capita,Cyprus,2013,8.8,,
ESTAT:SDG_13_10(1.0),13/05/25 23:00:00,Annual,Total (excluding memo items),Tonnes per capita,Cyprus,2014,9.4,,
ESTAT:SDG_13_10(1.0),13/05/25 23:00:00,Annual,Total (excluding memo items),Tonnes per capita,Cyprus,2015,9.5,,
ESTAT:SDG_13_10(1.0),13/05/25 23:00:00,Annual,Total (excluding memo items),Tonnes per capita,Cyprus,2016,10.1,,
ESTAT:SDG_13_10(1.0),13/05/25 23:00:00,Annual,Total (excluding memo items),Tonnes per capita,Cyprus,2017,10.0,,
